,pool,start_time,end_time,best_b,best_b_rebase_time,best_b_mean_stopping_index,best_b_mean_stopping_time,best_b_fee_wealth_mean,best_b_IL_mean,best_b_pnl_mean,bset_b_pnl_IL_mean,best_b_fee_wealth_apr,best_b_IL_mean_apr,best_b_pnl_apr,best_b_pnl_IL_apr,best_b_effective_tx_ratio,optimum,optimum_rebase_time,optimum_mean_stopping_index,optimum_mean_stopping_time,optimum_fee_wealth_mean,optimum_IL_mean,optimum_pnl_mean,optimum_pnl_IL_mean,optimum_fee_wealth_apr,optimum_IL_mean_apr,optimum_pnl_apr,optimum_pnl_IL_apr,optimum_effective_tx_ratio
0,AAVE_WETH_3000_0815,2021-05-06 05:17:16,2021-08-12 14:26:25,1.0,1.0,6753.0,98 days 09:09:09,9.12699021775833,-12.615192678679676,-10.970885673202417,-3.4882024609213147,0.16930806948632707,-0.2340151427432874,-0.20351281524012785,-0.06470707325695972,0.04812675847771361,optimum,18.0,375.16666666666674,5 days 11:10:30.500000,2.009855271679572,-5.545182493392714,-3.2451087793321167,-3.5353272217131235,0.6711001920427309,-1.85156269143599,-1.083557187274198,-1.1804624993932529,0.14645342810602696
1,COMP_WETH_10000_0815,2021-05-06 21:46:52,2021-08-11 01:16:29,1.0,1.0,245.0,96 days 03:29:37,0.5177765758401038,-3.1640876485226954,14.049527150458488,-2.6463110726825794,0.009828245639595196,-0.06005955480785113,0.26668298721475875,-0.05023130916825568,0.020408163265306117,optimum,1.0,245.0,96 days 03:29:37,0.5177765758401038,-3.1640876485226954,14.049527150458488,-2.6463110726825794,0.009828245639595196,-0.06005955480785113,0.26668298721475875,-0.05023130916825568,0.020408163265306117
2,COMP_WETH_3000_0815,2021-05-05 23:37:37,2021-08-11 06:33:30,0.6,3.0,3858.666666666666,32 days 10:18:37.666666666,8.20893802790954,-8.354473769285201,23.874414106833285,-0.14553574137570044,0.4619640911078794,-0.4701542231639061,1.3435504051923035,-0.008190132056028933,0.05079474775397374,optimum,22.0,526.1818181818181,4 days 10:07:59.681818181,2.1240893582847806,-7.374206318747599,-2.8123768011011507,-5.2501169604628135,0.8765878583769461,-3.0432522525326084,-1.1606363674911542,-2.16666439415566,0.1188666205943331
3,DAI_FEI_500_0815,2021-05-10 06:13:00,2021-08-11 07:27:01,0.05,1.0,95.0,93 days 01:14:01,0.9208816632664231,-0.5615263184593573,1.3875398361864484,0.3593553448070281,0.0180610826607618,-0.011013112388310806,0.027213563562089302,0.007047970272450251,0.8421052631578947,optimum,1.0,95.0,93 days 01:14:01,0.9208816632664231,-0.5615263184593573,1.3875398361864484,0.3593553448070281,0.0180610826607618,-0.011013112388310806,0.027213563562089302,0.007047970272450251,0.8421052631578947
4,DAI_USDC_500_0815,2021-05-04 20:38:51,2021-08-10 10:18:05,0.05,1.0,54763.0,97 days 13:39:14,2.2103940301527407,-0.19150416038530693,2.0212337593627865,2.0188898697674347,0.04134481999243225,-0.003582033307602296,0.037806628503112144,0.03776278668482997,0.26152694337417604,optimum,1.0,54763.0,97 days 13:39:14,2.2103940301527407,-0.19150416038530693,2.0212337593627865,2.0188898697674347,0.04134481999243225,-0.003582033307602296,0.037806628503112144,0.03776278668482997,0.26152694337417604
5,DAI_USDT_500_0815,2021-05-05 18:55:41,2021-08-11 03:39:39,0.05,1.0,38519.0,97 days 08:43:58,6.990635854184817,-1.8300601771061904,5.109107637536682,5.16057567707864,0.13103331853994882,-0.034302867884397015,0.09576572753728366,0.09673045065555208,0.3582128300319323,optimum,1.0,38519.0,97 days 08:43:58,6.990635854184817,-1.8300601771061904,5.109107637536682,5.16057567707864,0.13103331853994882,-0.034302867884397015,0.09576572753728366,0.09673045065555208,0.3582128300319323
6,DAI_WETH_3000_0815,2021-05-05 00:41:36,2021-08-10 17:20:12,1.0,1.0,45975.0,97 days 16:38:36,12.610703165290644,-12.682748660495465,-11.252849624979431,-0.07204549520483282,0.2355790284974673,-0.23692490172479735,-0.21021312988930765,-0.0013458732273302458,0.010505709624796085,optimum,20.0,2298.75,4 days 21:13:55.800000,2.677862166333756,-6.3194656841874615,-3.2693951545597595,-3.6416035178536745,1.0004964185206722,-2.3610635616283715,-1.221503550104003,-1.3605671431076878,0.037476889613920615
7,ETH2x-FLI_WETH_3000_0815,2021-05-05 19:09:36,2021-08-12 01:35:27,0.4,3.0,6088.0,32 days 18:08:37,6.683082026878503,-2.7310549579040355,33.526114539487175,3.952027068974464,0.3723479891461032,-0.15216075722746036,1.8679078428864733,0.2201872319186428,0.04686815593517302,optimum,46.0,397.0434782608696,2 days 03:16:12.847826086,1.9886399694561725,-5.709482277169972,-1.6273012821517292,-3.720842307713787,1.6988888348263975,-4.8775926473889735,-1.390198337360323,-3.1787038125625666,0.13956416995181778
8,FEI_WETH_500_0815,2021-05-21 08:41:47,2021-06-13 22:14:13,1.0,1.0,85.0,23 days 13:32:26,0.16350200346289795,-0.5895632456565352,-1.6465098393884432,-0.4260612421936401,0.01266290751622575,-0.04566050994236708,-0.1275189378670995,-0.03299760242614155,0.023529411764705882,optimum,1.0,85.0,23 days 13:32:26,0.16350200346289795,-0.5895632456565352,-1.6465098393884432,-0.4260612421936401,0.01266290751622575,-0.04566050994236708,-0.1275189378670995,-0.03299760242614155,0.023529411764705882
9,FLX_WETH_3000_0815,2021-05-06 22:42:03,2021-08-12 01:26:59,0.55,4.0,293.75,24 days 06:41:14,1.3635353951245988,59.41834383547175,149.3275275099436,60.78187923059625,0.10249555512593796,4.466415875859256,11.224796864416447,4.568911430985187,0.03829787234042553,optimum,111.0,10.585585585585584,0 days 20:59:51.855855855,0.31353070285290685,-3.2993234401683744,1.8763892676628888,-2.985792737315477,0.6540059198985408,-6.8821874282036735,3.91403354733442,-6.2281815083051475,0.23574468085106384
