,pool,b,rebase_time,swap_time,mean_stopping_index,start_time,end_time,mean_stopping_time,fee_wealth_mean,IL_mean,pnl_mean,pnl_IL_mean,fee_wealth_apr,IL_mean_apr,pnl_apr,pnl_IL_apr,effective_tx_ratio
0,ETH2x-FLI_WETH_3000_0815,0.05,207.0,18264.0,88.23188405797102,2021-05-05 19:09:36,2021-08-12 01:35:27,0 days 11:23:36.188405797,1.0126288888290036,-3.12599473300848,-1.5968663057098236,-2.1133658441794774,3.8928854531980415,-12.017373350838042,-6.138890249702916,-8.124487897640005,0.3544678055190539
1,ETH2x-FLI_WETH_3000_0815,0.15,20.0,18264.0,913.2,2021-05-05 19:09:36,2021-08-12 01:35:27,4 days 21:55:17.550000,3.4342553581090223,-9.633046517641498,-1.4798124930065513,-6.198791159532467,1.2755971687545797,-3.5780352894755745,-0.5496517962502917,-2.3024381207209914,0.105562855891371
2,ETH2x-FLI_WETH_3000_0815,0.1,58.0,18264.0,314.8965517241379,2021-05-05 19:09:36,2021-08-12 01:35:27,1 days 16:39:45.362068965,1.6986889702186403,-5.813922266951971,-2.3321441150498816,-4.1152332967333285,1.829754512598645,-6.262506374244531,-2.5120850805275152,-4.432751861645883,0.16885676741130093
3,ETH2x-FLI_WETH_3000_0815,0.25,8.0,18264.0,2283.0,2021-05-05 19:09:36,2021-08-12 01:35:27,12 days 06:48:13.875000,5.244932997937125,-14.383558294898933,2.427403353260239,-9.13862529696181,0.7792573335210533,-2.1370136258815817,0.3606474792310231,-1.3577562923605286,0.06061103810775296
4,ETH2x-FLI_WETH_3000_0815,0.2,14.0,18264.0,1304.5714285714287,2021-05-05 19:09:36,2021-08-12 01:35:27,7 days 00:27:33.642857142,3.2874445708463997,-9.449700402327718,0.7575289486732686,-6.162255831481308,0.8547467164826114,-2.456954092021227,0.19696009090498337,-1.6022073755386128,0.08661848445028471
5,ETH2x-FLI_WETH_3000_0815,0.35,7.0,18264.0,2609.1428571428573,2021-05-05 19:09:36,2021-08-12 01:35:27,14 days 00:55:07.285714285,3.9834710755122,-9.560019492860382,10.259284860944705,-5.576548417348164,0.5178579818793533,-1.242818714495971,1.3337243958602343,-0.7249607326166155,0.04429478756022777
6,ETH2x-FLI_WETH_3000_0815,0.3,5.0,18264.0,3652.8,2021-05-05 19:09:36,2021-08-12 01:35:27,19 days 15:41:10.200000,8.230566283109898,-12.102089588460569,13.830678510771657,-3.8715233053506553,0.7642768193686978,-1.1237800924299022,1.2842940106825238,-0.35950327306120283,0.06783837056504599
7,ETH2x-FLI_WETH_3000_0815,0.45,3.0,18264.0,6088.0,2021-05-05 19:09:36,2021-08-12 01:35:27,32 days 18:08:37,7.277340940796954,-40.10082407459942,-0.22608224977543045,-32.823483133802476,0.40545713111679266,-2.2342178574535394,-0.012596175050215196,-1.8287607263367471,0.0415024091108191
8,ETH2x-FLI_WETH_3000_0815,0.4,3.0,18264.0,6088.0,2021-05-05 19:09:36,2021-08-12 01:35:27,32 days 18:08:37,6.683082026878502,-2.7310549579040355,33.52611453948717,3.952027068974464,0.37234798914610323,-0.15216075722746036,1.8679078428864735,0.2201872319186428,0.04686815593517302
9,ETH2x-FLI_WETH_3000_0815,0.55,3.0,18264.0,6088.0,2021-05-05 19:09:36,2021-08-12 01:35:27,32 days 18:08:37,8.937921488802402,-30.22700705349958,16.585093343803095,-21.2890855646972,0.4979763947406991,-1.6840980327653643,0.9240386593384206,-1.1861216380246664,0.029730617608409986
10,ETH2x-FLI_WETH_3000_0815,0.5,3.0,18264.0,6088.0,2021-05-05 19:09:36,2021-08-12 01:35:27,32 days 18:08:37,10.230148287609566,-42.55871007925274,2.8025848042630437,-32.32856179164312,0.569972825148316,-2.3711590034251495,0.1561460434095823,-1.8011861782768304,0.03865527814279457
11,ETH2x-FLI_WETH_3000_0815,0.65,2.0,18264.0,9132.0,2021-05-05 19:09:36,2021-08-12 01:35:27,49 days 03:12:55.500000,12.123098938773664,-31.390467288332545,28.140524889923668,-19.267368349558893,0.45029239442888325,-1.1659468217566684,1.0452331039419136,-0.7156544273277858,0.048893999123959704
12,ETH2x-FLI_WETH_3000_0815,0.6,2.0,18264.0,9132.0,2021-05-05 19:09:36,2021-08-12 01:35:27,49 days 03:12:55.500000,6.461022225628161,-26.695058490928474,24.8584054485637,-20.23403626530032,0.23998394990667607,-0.9915436529890467,0.9233242232575603,-0.7515597030823706,0.02283180026281209
13,ETH2x-FLI_WETH_3000_0815,0.75,2.0,18264.0,9132.0,2021-05-05 19:09:36,2021-08-12 01:35:27,49 days 03:12:55.500000,8.406541730490162,-34.71336834284837,27.360582357409754,-26.30682661235825,0.31224704374735246,-1.289370467793459,1.016263432717062,-0.9771234240461082,0.03208497590889181
14,ETH2x-FLI_WETH_3000_0815,0.7,2.0,18264.0,9132.0,2021-05-05 19:09:36,2021-08-12 01:35:27,49 days 03:12:55.500000,9.063556842749746,-35.107810745182235,24.681648782487287,-26.0442539024325,0.3366507799182343,-1.3040213763365816,0.9167588901854813,-0.9673705964183478,0.033837056504599214
