,pool,b,rebase_time,swap_time,mean_stopping_index,start_time,end_time,mean_stopping_time,fee_wealth_mean,IL_mean,pnl_mean,pnl_IL_mean,fee_wealth_apr,IL_mean_apr,pnl_apr,pnl_IL_apr,effective_tx_ratio
0,LINK_WETH_3000_0815,0.05,76.0,30115.0,396.25,2021-05-05 23:16:59,2021-08-12 15:14:15,1 days 07:09:26.263157894,1.4832463381846654,-3.2583074134387906,-0.9408273100479019,-1.7750610752541178,2.085103631167,-4.580431749141949,-1.322587078072884,-2.495328117974939,0.33966461896065087
1,LINK_WETH_3000_0815,0.15,8.0,30115.0,3764.375,2021-05-05 23:16:59,2021-08-12 15:14:15,12 days 07:59:39.500000,4.604016060589453,-10.597416183912397,1.6684013685725247,-5.993400123322939,0.6812830506158809,-1.5681613468345694,0.246883060153199,-0.8868782962186876,0.10094637223974763
2,LINK_WETH_3000_0815,0.1,18.0,30115.0,1673.0555555555557,2021-05-05 23:16:59,2021-08-12 15:14:15,5 days 11:33:10.888888888,3.092852270260637,-6.488929315564925,0.04793160869540872,-3.3960770453042874,1.0297515374902304,-2.160460427941912,0.015958617947283277,-1.1307088904516815,0.14484476174663788
3,LINK_WETH_3000_0815,0.25,3.0,30115.0,10038.333333333334,2021-05-05 23:16:59,2021-08-12 15:14:15,32 days 21:19:05.333333333,8.88977374668754,-14.208085838787886,14.498872484287498,-5.318312092100361,0.4933018340176724,-0.7884199307958982,0.8045559528837782,-0.2951180967782267,0.06505063921633737
4,LINK_WETH_3000_0815,0.2,5.0,30115.0,6023.0,2021-05-05 23:16:59,2021-08-12 15:14:15,19 days 17:35:27.200000,6.951355094912364,-13.937588896150164,5.366613451853789,-6.9862338012378356,0.6428952927525479,-1.2890163387298637,0.4963306404451202,-0.6461210459773192,0.07365100448281588
5,LINK_WETH_3000_0815,0.35,2.0,30115.0,15057.5,2021-05-05 23:16:59,2021-08-12 15:14:15,49 days 07:58:38,12.284464828561985,-24.85627906076131,18.034710381184098,-12.57181423219933,0.4544509382377509,-0.9195320673635434,0.6671752630622843,-0.46508112912579275,0.0885605180142786
6,LINK_WETH_3000_0815,0.3,2.0,30115.0,15057.5,2021-05-05 23:16:59,2021-08-12 15:14:15,49 days 07:58:38,5.743107054543728,-16.38118291385446,19.487339676580177,-10.638075859310732,0.2124602435483357,-0.6060047424562343,0.7209137657498015,-0.39354449890789855,0.0277602523659306
7,LINK_WETH_3000_0815,0.45,2.0,30115.0,15057.5,2021-05-05 23:16:59,2021-08-12 15:14:15,49 days 07:58:38,8.288152344933577,-21.52747386039873,19.264054995706104,-13.239321515465122,0.30661153432219895,-0.7963863978022456,0.7126535823284276,-0.48977486348004556,0.062161713431844595
8,LINK_WETH_3000_0815,0.4,2.0,30115.0,15057.5,2021-05-05 23:16:59,2021-08-12 15:14:15,49 days 07:58:38,11.11977445094767,-23.738867625305147,18.614021576661116,-12.619093174357474,0.41136443489796604,-0.8781945990792138,0.6886062753196559,-0.4668301641812476,0.07590901544081023
9,LINK_WETH_3000_0815,0.55,2.0,30115.0,15057.5,2021-05-05 23:16:59,2021-08-12 15:14:15,49 days 07:58:38,7.728026325547091,-25.797081766634108,17.36391424226362,-18.069055441087045,0.28589025760449255,-0.9543360802649794,0.6423598609301623,-0.6684458226604879,0.032508716586418726
