,pool,b,rebase_time,swap_time,mean_stopping_index,start_time,end_time,mean_stopping_time,fee_wealth_mean,IL_mean,pnl_mean,pnl_IL_mean,fee_wealth_apr,IL_mean_apr,pnl_apr,pnl_IL_apr,effective_tx_ratio
0,POOL_WETH_3000_0815,0.05,158.0,1079.0,6.829113924050633,2021-05-05 21:29:53,2021-08-11 01:17:52,0 days 14:45:29.613924050,0.21472795363034053,-1.6089814787002987,-1.0361748392833812,-1.3942535250699606,0.6372774283064304,-4.775193735157555,-3.0751973634095067,-4.137916306851132,0.3253012048192771
1,POOL_WETH_3000_0815,0.15,23.0,1079.0,46.91304347826087,2021-05-05 21:29:53,2021-08-11 01:17:52,4 days 05:22:57.347826086,0.48288112876298994,-4.133222111144525,-1.9058535346637162,-3.6503409823815454,0.20861759459008888,-1.7856627715860889,-0.8233798265446657,-1.5770451769960048,0.10472659870250231
2,POOL_WETH_3000_0815,0.1,52.0,1079.0,20.75,2021-05-05 21:29:53,2021-08-11 01:17:52,1 days 20:50:32.288461538,0.4793685776083604,-5.20478298194088,-3.744695123688831,-4.725414404332508,0.46822626401220346,-5.083804413687485,-3.657654442803341,-4.61557814967527,0.22520852641334568
3,POOL_WETH_3000_0815,0.25,9.0,1079.0,119.88888888888889,2021-05-05 21:29:53,2021-08-11 01:17:52,10 days 19:05:19.888888888,0.8375650490893978,-12.59456447154919,-7.9650048632828145,-11.756999422459792,0.1415936965788761,-2.12916112278855,-1.346515692228418,-1.9875674262096739,0.0732159406858202
4,POOL_WETH_3000_0815,0.2,15.0,1079.0,71.93333333333334,2021-05-05 21:29:53,2021-08-11 01:17:52,6 days 11:27:11.933333333,0.6883418771522634,-8.442245301312926,-5.257214286226097,-7.753903424160668,0.19394487827541584,-2.3786584714388286,-1.4812549093019323,-2.1847135931634143,0.08433734939759036
5,POOL_WETH_3000_0815,0.35,5.0,1079.0,215.8,2021-05-05 21:29:53,2021-08-11 01:17:52,19 days 10:21:35.800000,1.9080131619682912,-26.349191361144033,-19.178261478435456,-24.44117819917575,0.17919844422694978,-2.474686334807194,-1.8012006879281626,-2.295487890580245,0.08155699721964782
6,POOL_WETH_3000_0815,0.3,5.0,1079.0,215.8,2021-05-05 21:29:53,2021-08-11 01:17:52,19 days 10:21:35.800000,1.6684030789611008,-10.320177270053483,-4.115949746480004,-8.65177419109238,0.15669453547420062,-0.9692594096322318,-0.3865653580317296,-0.812564874158031,0.05282669138090825
7,POOL_WETH_3000_0815,0.45,3.0,1079.0,359.6666666666667,2021-05-05 21:29:53,2021-08-11 01:17:52,32 days 09:15:59.666666666,1.465299511791389,-21.63497982144123,-12.392501776337136,-20.169680309649834,0.08257156650910663,-1.2191597423419087,-0.6983338739996277,-1.1365881758328016,0.030583873957367932
8,POOL_WETH_3000_0815,0.4,3.0,1079.0,359.6666666666667,2021-05-05 21:29:53,2021-08-11 01:17:52,32 days 09:15:59.666666666,1.8704778830904527,-18.23300246392508,-10.164150709402984,-16.362524580834627,0.10540390390125559,-1.0274538164351978,-0.5727633426179265,-0.9220499125339421,0.05097312326227989
9,POOL_WETH_3000_0815,0.55,3.0,1079.0,359.6666666666667,2021-05-05 21:29:53,2021-08-11 01:17:52,32 days 09:15:59.666666666,2.6178520689892877,-28.643291805701967,-15.195779290044252,-26.025439736712666,0.1475194282712117,-1.6140873967007676,-0.8563022714527649,-1.4665679684295552,0.07136237256719184
10,POOL_WETH_3000_0815,0.5,3.0,1079.0,359.6666666666667,2021-05-05 21:29:53,2021-08-11 01:17:52,32 days 09:15:59.666666666,3.4657490996745577,-27.62341123765525,-14.057493484975433,-24.15766213798069,0.19529954796599686,-1.5566157770911624,-0.7921583600522178,-1.3613162291251653,0.0871177015755329
11,POOL_WETH_3000_0815,0.65,3.0,1079.0,359.6666666666667,2021-05-05 21:29:53,2021-08-11 01:17:52,32 days 09:15:59.666666666,1.8899767964609007,-7.1225092952601585,10.54350775599041,-5.232532498799249,0.10650269347244358,-0.4013628239501066,0.5941406141934127,-0.29486013047766246,0.025949953660797033
12,POOL_WETH_3000_0815,0.6,3.0,1079.0,359.6666666666667,2021-05-05 21:29:53,2021-08-11 01:17:52,32 days 09:15:59.666666666,2.273168003986501,-6.951729395432163,8.603394818780194,-4.678561391445669,0.12809602509051185,-0.39173915060306086,0.4848126828449728,-0.26364312551254937,0.04633920296570899
