,pool,b,rebase_time,swap_time,mean_stopping_index,start_time,end_time,mean_stopping_time,fee_wealth_mean,IL_mean,pnl_mean,pnl_IL_mean,fee_wealth_apr,IL_mean_apr,pnl_apr,pnl_IL_apr,effective_tx_ratio
0,UNI_WETH_3000_0815,0.05,50.0,27175.0,543.5,2021-05-05 18:08:16,2021-08-10 07:51:08,1 days 22:21:15.440000,1.064903314786287,-2.4362262793893836,-0.7294176799834053,-1.3713229646031067,1.0062232925078836,-2.3019814044182776,-0.6892241289657925,-1.295758111910404,0.2609383624655014
1,UNI_WETH_3000_0815,0.15,9.0,27175.0,3019.4444444444443,2021-05-05 18:08:16,2021-08-10 07:51:08,10 days 17:31:25.777777777,2.0798695628261044,-6.630202208173204,-0.6076928516783053,-4.550332645347112,0.3537470216105838,-1.1276737376887533,-0.10335722017256914,-0.7739267160781719,0.09328426862925483
2,UNI_WETH_3000_0815,0.1,16.0,27175.0,1698.4375,2021-05-05 18:08:16,2021-08-10 07:51:08,6 days 00:51:25.750000,1.8305110463575978,-4.734007168910253,-0.801211101691985,-2.903496122552651,0.5534858465253673,-1.4314068033379028,-0.24225967155342631,-0.8779209568125343,0.13917203311867526
3,UNI_WETH_3000_0815,0.25,2.0,27175.0,13587.5,2021-05-05 18:08:16,2021-08-10 07:51:08,48 days 06:51:26,6.736329275127721,-9.754088670776326,11.481928934142019,-3.017759395648625,0.2546053272074403,-0.36866412495643724,0.43396932570437297,-0.11405879774899776,0.0584360625574977
4,UNI_WETH_3000_0815,0.2,7.0,27175.0,3882.1428571428573,2021-05-05 18:08:16,2021-08-10 07:51:08,13 days 19:06:07.428571428,1.8769809093334437,-9.852842211909072,-2.385827301342187,-7.975861302575615,0.2482973466300233,-1.303388098310544,-0.3156103429155847,-1.0550907516805188,0.040551977920883164
5,UNI_WETH_3000_0815,0.35,2.0,27175.0,13587.5,2021-05-05 18:08:16,2021-08-10 07:51:08,48 days 06:51:26,7.569670127523567,-13.512684817295636,10.567541912751693,-5.943014689772099,0.28610215756324986,-0.5107234814161211,0.399409286064549,-0.22462132385287245,0.10218951241950322
6,UNI_WETH_3000_0815,0.3,2.0,27175.0,13587.5,2021-05-05 18:08:16,2021-08-10 07:51:08,48 days 06:51:26,7.516326628488833,-12.767936180709867,10.18401567552202,-5.25160955222097,0.28408599438721943,-0.4825750696386076,0.3849135838602282,-0.19848907525138573,0.10277828886844526
7,UNI_WETH_3000_0815,0.45,2.0,27175.0,13587.5,2021-05-05 18:08:16,2021-08-10 07:51:08,48 days 06:51:26,0.6603707197844961,-17.988297260126345,3.2321100468086996,-17.32792654034182,0.024959276235165428,-0.6798830821304136,0.12216036396507378,-0.654923805895247,0.00563017479300828
8,UNI_WETH_3000_0815,0.4,2.0,27175.0,13587.5,2021-05-05 18:08:16,2021-08-10 07:51:08,48 days 06:51:26,1.8556268573630037,-17.262445196899705,2.638615694307944,-15.406818339536727,0.07013500437667723,-0.6524488825071312,0.09972873723742132,-0.582313878130455,0.013652253909843606
9,UNI_WETH_3000_0815,0.55,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
10,UNI_WETH_3000_0815,0.5,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
11,UNI_WETH_3000_0815,0.65,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
12,UNI_WETH_3000_0815,0.6,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
13,UNI_WETH_3000_0815,0.75,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
14,UNI_WETH_3000_0815,0.7,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
15,UNI_WETH_3000_0815,0.85,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
16,UNI_WETH_3000_0815,0.8,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
17,UNI_WETH_3000_0815,0.95,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
18,UNI_WETH_3000_0815,0.9,1.0,27175.0,27175.0,2021-05-05 18:08:16,2021-08-10 07:51:08,96 days 13:42:52,0.9662994652750788,-12.622994811370063,17.45691940412604,-11.656695346095006,0.018261057431168355,-0.2385484433008035,0.3298996007612138,-0.22028738586963553,0.0053725850965961365
