,pool,b,rebase_time,swap_time,mean_stopping_index,start_time,end_time,mean_stopping_time,fee_wealth_mean,IL_mean,pnl_mean,pnl_IL_mean,fee_wealth_apr,IL_mean_apr,pnl_apr,pnl_IL_apr,effective_tx_ratio
0,YFI_WETH_3000_0815,0.05,90.0,5772.0,64.13333333333334,2021-05-06 01:24:41,2021-08-11 05:49:08,1 days 01:54:56.300000,0.7016361839873925,-3.2063353023418837,-2.0738729074097466,-2.5046991183544933,1.1858347382600605,-5.419024660927263,-3.505050897413605,-4.233189922667208,0.30942480942480943
1,YFI_WETH_3000_0815,0.15,11.0,5772.0,524.7272727272727,2021-05-06 01:24:41,2021-08-11 05:49:08,8 days 20:02:13.363636363,1.5487783352514997,-8.252988126293106,-3.296120976565525,-6.704209791041612,0.31992754350351443,-1.7048005887684816,-0.6808720545227502,-1.3848730452649685,0.057865557865557866
2,YFI_WETH_3000_0815,0.1,26.0,5772.0,222.0,2021-05-06 01:24:41,2021-08-11 05:49:08,3 days 17:42:28.730769230,1.374970445194971,-6.204013310722866,-3.4265499515832687,-4.829042865527875,0.6713305213553108,-3.029114920206361,-1.6730160080787928,-2.3577843988510407,0.22851697851697853
3,YFI_WETH_3000_0815,0.25,7.0,5772.0,824.5714285714286,2021-05-06 01:24:41,2021-08-11 05:49:08,13 days 21:12:03.857142857,2.473732741031322,-12.944019073172777,-4.492749755252463,-10.470286332141484,0.32517750796128186,-1.7015192447438001,-0.5905816522028873,-1.376341736782522,0.04885654885654886
4,YFI_WETH_3000_0815,0.2,6.0,5772.0,962.0,2021-05-06 01:24:41,2021-08-11 05:49:08,16 days 04:44:04.500000,1.9543783740560892,-7.640032145702695,-0.37111510500201916,-5.68565377164659,0.2202062189827208,-0.8608274702815305,-0.04181475560961395,-0.6406212512988079,0.04695079695079695
5,YFI_WETH_3000_0815,0.35,5.0,5772.0,1154.4,2021-05-06 01:24:41,2021-08-11 05:49:08,19 days 10:28:53.400000,2.1408632705864568,-16.942194343977555,-4.684871426712789,-14.801331073391117,0.2010150697330694,-1.5907771525049053,-0.4398831861285392,-1.3897620827718375,0.01697851697851698
6,YFI_WETH_3000_0815,0.3,3.0,5772.0,1924.0,2021-05-06 01:24:41,2021-08-11 05:49:08,32 days 09:28:09,6.5670154420575955,-13.662845495628053,3.528125957517782,-7.095830053570457,0.3699635801575703,-0.769718798334136,0.19876275943111854,-0.39975521817656573,0.035862785862785865
7,YFI_WETH_3000_0815,0.45,3.0,5772.0,1924.0,2021-05-06 01:24:41,2021-08-11 05:49:08,32 days 09:28:09,2.4723406250103954,-18.007944033339612,-0.5812781400978793,-15.535603408329289,0.13928336198814573,-1.014507047323774,-0.03274725690466239,-0.8752236853356323,0.014553014553014554
8,YFI_WETH_3000_0815,0.4,3.0,5772.0,1924.0,2021-05-06 01:24:41,2021-08-11 05:49:08,32 days 09:28:09,2.401586423814404,-2.2794208333527686,13.617633811238733,0.12216559046162463,0.1352973080772604,-0.1284149092740243,0.7671717239790946,0.00688239880323549,0.014033264033264034
9,YFI_WETH_3000_0815,0.55,1.0,5772.0,5772.0,2021-05-06 01:24:41,2021-08-11 05:49:08,97 days 04:24:27,4.51909754204687,-14.958256363849529,10.918608254466278,-10.439158821802636,0.08486358937777937,-0.2808992977156048,0.20503923158608564,-0.19603570833782497,0.015072765072765074
10,YFI_WETH_3000_0815,0.5,3.0,5772.0,1924.0,2021-05-06 01:24:41,2021-08-11 05:49:08,32 days 09:28:09,1.9575473640312564,-21.01603039790776,-3.1047653901696513,-19.05848303387653,0.1102816397364985,-1.1839725237914387,-0.17491204785968673,-1.0736908840549417,0.02027027027027027
11,YFI_WETH_3000_0815,0.65,1.0,5772.0,5772.0,2021-05-06 01:24:41,2021-08-11 05:49:08,97 days 04:24:27,4.51909754204687,-14.958256363849529,10.918608254466278,-10.439158821802636,0.08486358937777937,-0.2808992977156048,0.20503923158608564,-0.19603570833782497,0.015072765072765074
