,pool,start_time,end_time,best_b,best_b_rebase_time,best_b_mean_stopping_index,best_b_mean_stopping_time,best_b_fee_wealth_mean,best_b_IL_mean,best_b_pnl_mean,bset_b_pnl_IL_mean,best_b_fee_wealth_apr,best_b_IL_mean_apr,best_b_pnl_apr,best_b_pnl_IL_apr,best_b_effective_tx_ratio,optimum,optimum_rebase_time,optimum_mean_stopping_index,optimum_mean_stopping_time,optimum_fee_wealth_mean,optimum_IL_mean,optimum_pnl_mean,optimum_pnl_IL_mean,optimum_fee_wealth_apr,optimum_IL_mean_apr,optimum_pnl_apr,optimum_pnl_IL_apr,optimum_effective_tx_ratio,visor_fee_apr,visor_upper,visor_upper_a,visor_price,visor_lower,visor_lower_a,best_b_premium,optimum_premium
0,AAVE_WETH_3000_0815,6/5/2021 5:17,12/8/2021 14:26,1,1,6753,98 days 09:09:09,9.126990218,-12.61519268,-10.97088567,-3.488202461,0.169308069,-0.234015143,-0.203512815,-0.064707073,0.048126758,optimum,18,375.1666667,5 days 11:10:30.500000,2.009855272,-5.545182493,-3.245108779,-3.535327222,0.671100192,-1.851562691,-1.083557187,-1.180462499,0.146453428,0.1836,0.0975,0.128999552,0.0857,0.0726,-0.165887904,8.680578652,3.655229804
1,COMP_WETH_10000_0815,6/5/2021 21:46,11/8/2021 1:16,1,1,245,96 days 03:29:37,0.517776576,-3.164087649,14.04952715,-2.646311073,0.009828246,-0.060059555,0.266682987,-0.050231309,0.020408163,optimum,1,245,96 days 03:29:37,0.517776576,-3.164087649,14.04952715,-2.646311073,0.009828246,-0.060059555,0.266682987,-0.050231309,0.020408163,0.1885,0.109,0.287070639,0.0818,0.0525,-0.443464074,0.752011862,0.052139234
2,COMP_WETH_3000_0815,5/5/2021 23:37,11/8/2021 6:33,0.6,3,3858.666667,32 days 10:18:37.666666666,8.208938028,-8.354473769,23.87441411,-0.145535741,0.461964091,-0.470154223,1.343550405,-0.008190132,0.050794748,optimum,22,526.1818182,4 days 10:07:59.681818181,2.124089358,-7.374206319,-2.812376801,-5.25011696,0.876587858,-3.043252253,-1.160636367,-2.166664394,0.118866621,0.1885,0.109,0.287070639,0.0818,0.0525,-0.443464074,10.29407499,4.650333466
3,DAI_FEI_500_0815,10/5/2021 6:13,11/8/2021 7:27,0.05,1,95,93 days 01:14:01,0.920881663,-0.561526318,1.387539836,0.359355345,0.018061083,-0.011013112,0.027213564,0.00704797,0.842105263,optimum,1,95,93 days 01:14:01,0.920881663,-0.561526318,1.387539836,0.359355345,0.018061083,-0.011013112,0.027213564,0.00704797,0.842105263,,,,,,,,
4,DAI_USDC_500_0815,4/5/2021 20:38,10/8/2021 10:18,0.05,1,54763,97 days 13:39:14,2.21039403,-0.19150416,2.021233759,2.01888987,0.04134482,-0.003582033,0.037806629,0.037762787,0.261526943,optimum,1,54763,97 days 13:39:14,2.21039403,-0.19150416,2.021233759,2.01888987,0.04134482,-0.003582033,0.037806629,0.037762787,0.261526943,,,,,,,,
5,DAI_USDT_500_0815,5/5/2021 18:55,11/8/2021 3:39,0.05,1,38519,97 days 08:43:58,6.990635854,-1.830060177,5.109107638,5.160575677,0.131033319,-0.034302868,0.095765728,0.096730451,0.35821283,optimum,1,38519,97 days 08:43:58,6.990635854,-1.830060177,5.109107638,5.160575677,0.131033319,-0.034302868,0.095765728,0.096730451,0.35821283,,,,,,,,
6,DAI_WETH_3000_0815,5/5/2021 0:41,10/8/2021 17:20,1,1,45975,97 days 16:38:36,12.61070317,-12.68274866,-11.25284962,-0.072045495,0.235579028,-0.236924902,-0.21021313,-0.001345873,0.01050571,optimum,20,2298.75,4 days 21:13:55.800000,2.677862166,-6.319465684,-3.269395155,-3.641603518,1.000496419,-2.361063562,-1.22150355,-1.360567143,0.03747689,0.3528,5516.89,0.433211561,3577.28,2653.42,-0.298753361,13.99954301,2.835874202
7,ETH2x-FLI_WETH_3000_0815,5/5/2021 19:09,12/8/2021 1:35,0.4,3,6088,32 days 18:08:37,6.683082027,-2.731054958,33.52611454,3.952027069,0.372347989,-0.152160757,1.867907843,0.220187232,0.046868156,optimum,46,397.0434783,2 days 03:16:12.847826086,1.988639969,-5.709482277,-1.627301282,-3.720842308,1.698888835,-4.877592647,-1.390198337,-3.178703813,0.13956417,,,,,,,,
8,FEI_WETH_500_0815,21/5/2021 8:41,13/6/2021 22:14,1,1,85,23 days 13:32:26,0.163502003,-0.589563246,-1.646509839,-0.426061242,0.012662908,-0.04566051,-0.127518938,-0.032997602,0.023529412,optimum,1,85,23 days 13:32:26,0.163502003,-0.589563246,-1.646509839,-0.426061242,0.012662908,-0.04566051,-0.127518938,-0.032997602,0.023529412,,,,,,,,
9,FLX_WETH_3000_0815,6/5/2021 22:42,12/8/2021 1:26,0.55,4,293.75,24 days 06:41:14,1.363535395,59.41834384,149.3275275,60.78187923,0.102495555,4.466415876,11.22479686,4.568911431,0.038297872,optimum,111,10.58558559,0 days 20:59:51.855855855,0.313530703,-3.29932344,1.876389268,-2.985792737,0.65400592,-6.882187428,3.914033547,-6.228181508,0.235744681,,,,,,,,
10,LINK_WETH_3000_0815,5/5/2021 23:16,12/8/2021 15:14,0.25,3,10038.33333,32 days 21:19:05.333333333,8.889773747,-14.20808584,14.49887248,-5.318312092,0.493301834,-0.788419931,0.804555953,-0.295118097,0.065050639,optimum,13,2316.538462,7 days 14:09:01.230769230,2.054739584,-6.918657001,0.204153402,-4.863917417,0.494084133,-1.663665154,0.049090871,-1.169581021,0.047351818,0.1969,0.01,0.314710745,0.0073,0.004,-0.601579987,10.58965785,2.509315049
11,LQTY_WETH_3000_0815,5/5/2021 20:44,11/8/2021 2:44,1.35,2,7077.5,48 days 15:00:01,12.98560559,44.69580353,185.3115972,57.68140911,0.487377369,1.677528473,6.955137981,2.164905842,0.011656658,optimum,445,31.80898876,0 days 05:14:41.802247191,0.563104881,-3.597219641,-1.695271813,-3.03411476,4.702431287,-30.04001343,-14.15704157,-25.33758214,0.204238785,,,,,,,,
12,MKR_WETH_3000_0815,6/5/2021 0:59,11/8/2021 22:25,1,1,8452,97 days 21:25:45,3.376289832,-18.0716983,26.22696576,-14.69540846,0.062943585,-0.336907533,0.488944769,-0.273963948,0.008282063,optimum,7,1207.428571,13 days 23:37:57.857142857,3.098488407,-7.709985005,0.953095641,-4.611496598,0.404352069,-1.006151382,0.124378776,-0.601799312,0.081755797,,,,,,,,
13,MKR_WETH_500_0815,6/5/2021 17:40,9/8/2021 12:59,0.2,4,177.25,23 days 16:49:53.750000,0.772974339,8.174967918,22.40155362,8.947942258,0.059518979,0.629472056,1.72491833,0.688991035,0.063469676,optimum,7,101.2857143,13 days 13:02:47.857142857,0.70789278,-0.268210018,7.243620829,0.439682762,0.09538848,-0.036141273,0.976077172,0.059247208,0.094499295,,,,,,,,
14,POOL_WETH_3000_0815,5/5/2021 21:29,11/8/2021 1:17,1,1,1079,97 days 03:47:59,1.044867132,-0.482441758,0.081874959,0.562425375,0.019626549,-0.009062077,0.001537921,0.010564471,0.007414272,optimum,52,20.75,1 days 20:50:32.288461538,0.479368578,-5.204782982,-3.744695124,-4.725414404,0.468226264,-5.083804414,-3.657654443,-4.61557815,0.225208526,,,,,,,,
15,RAI_DAI_500_0815,5/5/2021 20:05,12/8/2021 3:26,1,1,5718,98 days 07:20:53,19.43890455,-10.71202321,8.635613588,8.726881344,0.36087258,-0.198862824,0.16031542,0.162009756,0.67366212,optimum,3,1906,32 days 18:26:57.666666666,7.51281039,-6.868049429,0.975458728,0.644760961,0.418413588,-0.382504689,0.054326566,0.035908899,0.791710388,,,,,,,,
16,RAI_WETH_3000_0815,5/5/2021 23:43,11/8/2021 22:50,1,1,1420,97 days 23:07:00,0.725918977,-8.402596931,-23.38144425,-7.676677954,0.013523468,-0.156535722,-0.435583343,-0.143012254,0.004929577,optimum,37,38.37837838,2 days 15:32:37.297297297,0.733989126,-5.561476921,-4.577310231,-4.827487795,0.505930988,-3.833467571,-3.155091819,-3.327536584,0.177464789,,,,,,,,
17,RAI_WETH_500_0815,16/5/2021 21:06,10/8/2021 17:13,0.05,1,1,85 days 20:07:25,0,0,0,0,0,0,0,0,0,optimum,1,1,85 days 20:07:25,0,0,0,0,0,0,0,0,0,,,,,,,,
18,SOCKS_WETH_3000_0815,6/5/2021 17:36,26/7/2021 18:48,0.15,3,8.333333333,27 days 00:24:02.666666666,0.129597881,-2.044407556,-12.7607415,-1.914809675,0.008754443,-0.138101401,-0.861998518,-0.129346959,0.12,optimum,3,8.333333333,27 days 00:24:02.666666666,0.252173921,-2.422638692,-13.24060418,-2.17046477,0.017034554,-0.163651224,-0.894413634,-0.146616669,0.36,,,,,,,,
19,UNI_WETH_3000_0815,5/5/2021 18:08,10/8/2021 7:51,0.25,2,13587.5,48 days 06:51:26,6.736329275,-9.754088671,11.48192893,-3.017759396,0.254605327,-0.368664125,0.433969326,-0.114058798,0.058436063,optimum,2,13587.5,48 days 06:51:26,6.780625771,-13.18353992,9.57727468,-6.402914146,0.256279551,-0.498283168,0.361981289,-0.242003617,0.080073597,0.7682,0.00803,0.110493356,0.00719,0.00599,-0.18259976,1.309845473,0.333610454
20,USDC_USDT_500_0815,5/5/2021 17:52,10/8/2021 20:53,0.05,1,90753,97 days 03:00:44,1.562991055,-0.012997601,1.580781048,1.549993453,0.02936879,-0.000244226,0.029703066,0.029124563,0.204147521,optimum,1,90753,97 days 03:00:44,1.562991055,-0.012997601,1.580781048,1.549993453,0.02936879,-0.000244226,0.029703066,0.029124563,0.204147521,,,,,,,,
21,USDC_WETH_10000_0815,5/5/2021 1:22,10/8/2021 13:47,1,1,9307,97 days 12:24:51,2.929438465,-5.712677463,-12.64872803,-2.783238998,0.054823376,-0.106910681,-0.236716345,-0.052087306,0.008165897,optimum,1,9307,97 days 12:24:51,2.929438465,-5.712677463,-12.64872803,-2.783238998,0.054823376,-0.106910681,-0.236716345,-0.052087306,0.008165897,0.2247,5563.44,0.440342779,3581.83,2675.81,-0.291621705,6.751595365,0.24398476
22,USDC_WETH_3000_0815,5/5/2021 9:50,11/8/2021 9:45,0.4,2,56235.5,48 days 23:57:04.500000,31.02649259,-27.09251214,7.396293962,3.933980452,1.155626456,-1.009099681,0.275485634,0.146526775,0.028754079,optimum,17,6615.941176,5 days 18:20:49.941176470,4.766230915,-10.11961846,-3.612147799,-5.353387546,1.508963717,-3.203818145,-1.143587054,-1.694854428,0.037707498,0.2247,5563.44,0.440342779,3581.83,2675.81,-0.291621705,27.42596964,6.715459356
23,WBTC_WETH_3000_0815,4/5/2021 21:22,10/8/2021 14:46,1,1,37207,97 days 17:24:15,19.82421512,-16.4673373,18.42262569,3.356877818,0.370213644,-0.307524556,0.344039214,0.062689088,0.093611417,optimum,1,37207,97 days 17:24:15,19.82421512,-16.4673373,18.42262569,3.356877818,0.370213644,-0.307524556,0.344039214,0.062689088,0.093611417,0.0975,20.47,0.311577088,14.99,9.79,-0.426021856,13.65560558,3.797063012
24,WETH_USDT_3000_0815,5/5/2021 17:54,12/8/2021 4:26,1,1,86143,98 days 10:31:45,14.06153603,-9.29394637,12.82682655,4.767589661,0.260693196,-0.172304688,0.237802356,0.088388508,0.021917045,optimum,15,5742.866667,6 days 13:30:07,3.04143176,-9.621420991,-4.049313674,-6.579989231,0.845797247,-2.675638329,-1.126080948,-1.829841081,0.054003227,0.2145,4846.34,0.303509235,3577.68,2330.91,-0.428455796,25.88033711,3.943110711
25,YFI_WETH_3000_0815,6/5/2021 1:24,11/8/2021 5:49,0.4,3,1924,32 days 09:28:09,2.401586424,-2.279420833,13.61763381,0.12216559,0.135297308,-0.128414909,0.767171724,0.006882399,0.014033264,optimum,25,230.88,3 days 21:17:46.680000,1.193332976,-6.21251351,-3.62925592,-5.019180533,0.560236412,-2.916601106,-1.703834014,-2.356364694,0.137214137,,,,,,,,
26,fish_WETH_10000_0815,7/5/2021 0:08,12/8/2021 18:26,0.4,5,31.6,19 days 13:15:42.600000,0.266828763,3.02795546,7.207863648,3.294784223,0.024905285,0.282623558,0.672768176,0.307528844,0.050632911,optimum,35,4.514285714,2 days 19:02:14.657142857,0.164870606,-4.157152101,-3.541577782,-3.992281495,0.107720944,-2.716144258,-2.31394857,-2.608423314,0.246835443,,,,,,,,
