,range,break range,wealth,gas cost,reset_times,transaction fee,pnl,APR
0,0.05,0.1,0.0,45100.0,451.0,0.0,-115082.74943470268,-1.6444445290346945
1,0.1,0.2,-3.853612357118511e-237,18000.0,180.0,0.0,-87965.51161506059,-1.2572696116199824
2,0.15000000000000002,0.30000000000000004,1.694760426754204e-99,9600.0,96.0,0.0,-79548.28652380449,-1.1372442482452085
3,0.2,0.4,5.1997900381123985e-51,5700.0,57.0,0.0,-75631.07414371625,-1.0815088295124118
4,0.25,0.5,-7.298373731803107e-51,4300.0,43.0,0.0,-74213.87445760179,-1.0615042440911735
5,0.3,0.6,-7.483295345484947e-30,3000.0,30.0,0.0,-72896.68744827445,-1.0429204889318981
6,0.35000000000000003,0.7000000000000001,-3.521432788805649e-14,2200.0,22.0,0.0,-72079.51309859267,-1.031482760861485
7,0.4,0.8,1.235292217978161e-07,1500.0,15.0,0.0,-71362.35139132109,-1.0214707917784194
8,0.45,0.9,-0.00011207349021961575,1500.0,15.0,0.0,-71345.2024218145,-1.0214760651049657
9,0.5,1.0,-2.7360926545334976e-10,1300.0,13.0,0.0,-71128.06583642223,-1.0186171560736859
10,0.55,1.1,-1.887890281748536e-05,1100.0,11.0,0.0,-70910.94197334276,-1.0157568425247205
11,0.6000000000000001,1.2000000000000002,37.826721926506295,600.0,6.0,0.0,-70356.00392493999,-1.0080547703552467
12,0.6500000000000001,1.3000000000000003,-14027.564862737363,600.0,6.0,0.0,-84404.29675939631,-1.2096338487792915
13,0.7000000000000001,1.4000000000000001,2.5548800325409315,400.0,4.0,0.0,-70157.09080686572,-1.0056973500374602
14,0.7500000000000001,1.5000000000000002,-0.0035514554092110386,400.0,4.0,0.0,-70142.5755521229,-1.0057354287342826
15,0.8,1.6,-549.371779296841,100.0,1.0,0.0,-70374.8826003856,-1.009313259546611
16,0.8500000000000001,1.7000000000000002,-584.1643936325718,100.0,1.0,0.0,-70392.62652493204,-1.0098146533823098
17,0.9000000000000001,1.8000000000000003,-619.0077870159412,100.0,1.0,0.0,-70410.43370149138,-1.0103170193116482
18,0.9500000000000001,1.9000000000000001,-653.7925395702555,100.0,1.0,0.0,-70428.19469338535,-1.0108187873346393
19,1.0,2.0,-685.7987693673313,100.0,1.0,0.0,-70443.18960191171,-1.0112809101801759
20,1.05,2.1,-720.6172303742401,100.0,1.0,0.0,-70461.00916429998,-1.0117836388852153
21,1.1,2.2,-755.4864378859022,100.0,1.0,0.0,-70478.89187912605,-1.0122873397597294
22,1.1500000000000001,2.3000000000000003,-789.7720064738646,100.0,1.0,0.0,-70496.20334427418,-1.01278289935819
23,1.2000000000000002,2.4000000000000004,-823.1739877358292,100.0,1.0,0.0,-70512.64359468383,-1.0132660012060741
24,1.2500000000000002,2.5000000000000004,-856.5683376279351,100.0,1.0,0.0,-70529.08856968129,-1.0137492264824874
25,1.3,2.6,-889.3222094360763,100.0,1.0,0.0,-70544.90540594661,-1.0142234765919655
26,1.35,2.7,-924.2043496463646,100.0,1.0,0.0,-70562.8628333927,-1.014728560659331
